,State,Year,Quater,Transaction_type,Transaction_count,Transaction_amount
0,Kerala,2023,2,Merchant payments,90195971,49220348954.0
1,Kerala,2023,2,Peer-to-peer payments,48068911,146558117198.0
2,Kerala,2023,2,Recharge & bill payments,17613119,11702913951.0
3,Kerala,2023,2,Financial Services,162540,193012060.0
4,Kerala,2023,2,Others,130076,122278822.0
5,Kerala,2023,4,Merchant payments,108137761,55180695119.0
6,Kerala,2023,4,Peer-to-peer payments,54694399,156361217618.0
7,Kerala,2023,4,Recharge & bill payments,16678550,13074043821.0
8,Kerala,2023,4,Financial Services,225961,270144459.0
9,Kerala,2023,4,Others,106422,99220448.0
10,Kerala,2023,3,Merchant payments,100971920,54395884988.0
11,Kerala,2023,3,Peer-to-peer payments,51765006,153333984681.0
12,Kerala,2023,3,Recharge & bill payments,17617414,12247443070.0
13,Kerala,2023,3,Financial Services,186185,243267285.0
14,Kerala,2023,3,Others,118126,112033305.0
15,Kerala,2023,1,Merchant payments,84583249,44370168231.0
16,Kerala,2023,1,Peer-to-peer payments,46080274,138477919269.0
17,Kerala,2023,1,Recharge & bill payments,16629085,10446589963.0
18,Kerala,2023,1,Financial Services,160843,201389795.0
19,Kerala,2023,1,Others,168114,141022419.0
20,Kerala,2021,2,Peer-to-peer payments,17026648,58152644526.04467
21,Kerala,2021,2,Merchant payments,16135060,11263178335.980885
22,Kerala,2021,2,Recharge & bill payments,13809151,4645548909.798975
23,Kerala,2021,2,Financial Services,88830,88370679.95309764
24,Kerala,2021,2,Others,131344,77063984.37888283
25,Kerala,2021,4,Merchant payments,38574904,24589454633.018272
26,Kerala,2021,4,Peer-to-peer payments,29075528,92774490034.55844
27,Kerala,2021,4,Recharge & bill payments,13781815,5689390023.204552
28,Kerala,2021,4,Financial Services,108232,128238698.74055986
29,Kerala,2021,4,Others,283262,160563553.84187678
30,Kerala,2021,3,Merchant payments,25402350,17877677018.10737
31,Kerala,2021,3,Peer-to-peer payments,23378091,78598482305.73877
32,Kerala,2021,3,Recharge & bill payments,13979407,5008396079.412957
33,Kerala,2021,3,Financial Services,85730,101460242.2623948
34,Kerala,2021,3,Others,182688,100146127.60812962
35,Kerala,2021,1,Peer-to-peer payments,16209203,55336812492.74641
36,Kerala,2021,1,Merchant payments,16105923,10058436408.184261
37,Kerala,2021,1,Recharge & bill payments,9837385,3732534739.0436296
38,Kerala,2021,1,Financial Services,68012,69655547.76092248
